id,peopleId,movieId,personName,name,peopleType
12140623,615829,128,Arben Bajraktaraj,Antonin Dolohov,Actor
12140624,286956,128,Peter Best,Walden Macnair,Actor
12140625,417474,128,Richard Trinder,Augustus Rookwood,Actor
12140626,454968,128,Richard Cubison,Jugson,Actor
12140627,295546,128,Robbie Jarvis,Young James Potter,Actor
12140628,298029,128,Miles Jupp,TV Weatherman,Actor
12140629,376466,128,Daisy Haggard,Lift,Actor
12140630,445308,128,David Yates,,Director
65516759,7966594,128,Devon Murray,Seamus Finnegan,Actor
65516762,7864943,128,Robbie Coltrane,Rubeus Hagrid,Actor
65516763,8102368,128,James Phelps,Fred Weasley,Actor
65516764,8146549,128,Oliver Phelps,George Weasley,Actor
65612039,8174980,128,Michael Goldenberg,,Writer
68992947,7931544,128,Jamie Waylett,Vincent Crabbe,Actor
68992951,7938012,128,Joshua Herdman,Gregory Goyle,Actor
68992959,9115685,128,Alec Hopkins,Young Severus Snape,Actor
68992964,8948677,128,James Utechin,Young Remus Lupin,Actor
68992969,7882942,128,Shefali Chowdhury,Parvati Patil,Actor
68992971,8859378,128,Charles Hughes,Young Peter Pettigrew,Actor
68992976,7938808,128,Afshan Azad,Padma Patil,Actor
68992989,9115686,128,Apple Brook,Wilhelmina Grubbly-Plank,Actor
68993084,9115688,128,James Walters,Young Sirius Black,Actor
68993155,8404056,128,David Barron,,Producer
68993156,7921161,128,David Heyman,,Producer
68993157,548958,128,Lionel Wigram,,Executive Producer
12142316,310820,181,Daniel Radcliffe,Harry Potter,Actor
12142317,356218,181,Rupert Grint,Ron Weasley,Actor
12142318,381676,181,Emma Watson,Hermione Granger,Actor
12142319,255178,181,Tom Felton,Draco Malfoy,Actor
12142320,307560,181,Michael Gambon,Albus Dumbledore,Actor
12142321,248020,181,Jim Broadbent,Horace Slughorn,Actor
12142322,360491,181,Helena Bonham Carter,Bellatrix Lestrange,Actor
12142323,356982,181,Maggie Smith,Minerva McGonagall,Actor
12142324,294150,181,Alan Rickman,Severus Snape,Actor
12142325,312515,181,Timothy Spall,Peter Pettigrew,Actor
12142326,487306,181,David Thewlis,Remus Lupin,Actor
12142327,262467,181,Julie Walters,Molly Weasley,Actor
12142328,333869,181,Matthew Lewis,Neville Longbottom,Actor
12142329,295544,181,Evanna Lynch,Luna Lovegood,Actor
12142330,646874,181,Bonnie Wright,Ginny Weasley,Actor
12142331,259115,181,Mark Williams,Arthur Weasley,Actor
12142332,8102501,181,Warwick Davis,Filius Flitwick,Actor
12142333,247837,181,Natalia Tena,Nymphadora Tonks,Actor
12142334,403781,181,Katie Leung,Cho Chang,Actor
12142335,548450,181,Geraldine Somerville,Lily Potter,Actor
12142336,7988338,181,Helen McCrory,Narcissa Malfoy,Actor
12142337,554349,181,Freddie Stroma,Cormac McLaggen,Actor
12142338,247908,181,David Bradley,Argus Filch,Actor
12142339,583998,181,Frank Dillane,Tom Riddle (16 Years),Actor
12142340,318013,181,Gemma Jones,Poppy Pomfrey,Actor
12142341,348524,181,Georgina Leonidas,Katie Bell,Actor
12142342,633607,181,Scarlett Hefner,Pansy Parkinson,Actor
12142343,478553,181,Jessie Cave,Lavender Brown,Actor
12142344,485837,181,Alfred Enoch,Dean Thomas,Actor
12142345,503454,181,Paul Ritter,Eldred Worple,Actor
12142346,512612,181,Isabella Laughland,Leanne,Actor
12142347,247978,181,Ralph Ineson,Amycus Carrow,Actor
12142348,483006,181,Elarica Johnson,Waitress,Actor
12142350,445308,181,David Yates,,Director
65515237,7864943,181,Robbie Coltrane,Rubeus Hagrid,Actor
65515290,559770,181,Hero Fiennes Tiffin,Tom Riddle (11 Years),Actor
65515301,8146549,181,Oliver Phelps,George Weasley,Actor
65515304,8102368,181,James Phelps,Fred Weasley,Actor
65515360,7864849,181,Dave Legeno,Fenrir Greyback,Actor
65612034,8173813,181,Steve Kloves,,Writer
68993142,8404056,181,David Barron,,Producer
68993143,7921161,181,David Heyman,,Producer
68993144,548958,181,Lionel Wigram,,Executive Producer
68993966,7931544,181,Jamie Waylett,Vincent Crabbe,Actor
68993968,7966594,181,Devon Murray,Seamus Finnigan,Actor
68993969,7938012,181,Joshua Herdman,Gregory Goyle,Actor
68993972,7882942,181,Shefali Chowdhury,Parvati Patil,Actor
68993973,7938808,181,Afshan Azad,Padma Patil,Actor
68993974,8639377,181,Robert Knox,Marcus Belby,Actor
68993975,8197249,181,Suzanne Toase,Alecto Carrow,Actor
68993977,9086672,181,Anna Shaffer,Romilda Vane,Actor
68993978,7990151,181,Louis Cordice,Blaise Zabini,Actor
12142866,310820,201,Daniel Radcliffe,Harry Potter,Actor
12142867,381676,201,Emma Watson,Hermione Granger,Actor
12142868,356218,201,Rupert Grint,Ron Weasley,Actor
12142869,310851,201,Ralph Fiennes,Lord Voldemort,Actor
12142870,360491,201,Helena Bonham Carter,Bellatrix Lestrange,Actor
12142871,294150,201,Alan Rickman,Severus Snape,Actor
12142872,260656,201,Bill Nighy,Rufus Scrimgeour,Actor
12142873,307560,201,Michael Gambon,Albus Dumbledore,Actor
12142874,496037,201,Brendan Gleeson,Alastor Moody,Actor
12142875,272507,201,John Hurt,Garrick Ollivander,Actor
12142877,333869,201,Matthew Lewis,Neville Longbottom,Actor
